X,y
1.5248245,3.525499
3.9696145,8.256349
8.702919,17.53101
7.563229,15.923038
1.8360549,4.574191
0.99057496,2.5622616
1.5831816,3.5793066
0.0656116,0.16808671
1.141805,2.6014907
3.763513,8.154319
8.374386,17.484537
5.836911,12.110614
1.1969727,2.696269
0.9888804,2.756374
7.487376,15.076552
1.2807935,3.3775961
4.3843627,9.074748
7.39853,15.304712
2.6859398,5.773072
4.4548006,9.470221
4.5647774,9.478456
3.8170834,8.49773
2.4648392,5.41668
0.5428082,1.9759161
0.958215,2.8971703
2.3226917,4.9017878
9.829188,19.793623
2.5849266,6.0710044
1.6423601,4.176527
6.2119713,12.542169
6.3780518,13.217452
7.7395487,15.486034
8.800602,17.691904
7.784371,16.165314
0.04249513,0.71800756
5.4434433,11.492877
8.028766,16.42145
4.537873,10.037034
2.0536041,4.678697
9.766699,19.738356
3.1298609,6.731415
2.1532774,4.926627
0.4922247,1.6595457
5.2233415,10.5931425
7.215666,15.118727
6.1068144,12.458188
5.9887486,12.062027
1.2080628,2.6430218
0.33056378,1.6433322
5.088047,11.103523
9.559171,20.066084
7.884607,16.56272
2.0888286,5.055382
4.3509574,9.13499
1.3140821,2.8530502
2.587883,5.9255943
5.905492,12.051892
7.7226925,15.607952
9.141847,18.624027
0.4094696,1.4238689
8.343076,17.44355
1.4735395,3.2528744
6.8723364,13.95039
9.231226,19.029898
5.070212,10.345707
9.549045,19.272558
0.7397425,2.2401109
3.090204,6.5964155
7.9162645,16.789421
3.9106607,8.807713
3.9764988,8.6025505
2.9160416,6.504162
8.44653,17.508202
7.452516,15.412863
6.60225,13.668134
2.1901817,4.8872356
0.9412521,2.5692167
5.540803,12.046492
6.4813943,13.333209
2.6914406,5.671523
3.6010118,7.580941
8.376839,17.012115
5.3982983,11.381616
5.2255917,11.324408
3.7694974,8.429983
0.4720515,1.6736658
0.29871285,0.72945994
2.6099248,5.451497
2.458393,5.3069305
6.557768,13.523374
3.5444462,7.6300163
3.0438895,6.1287932
9.767149,20.18992
6.7416143,13.601792
8.564511,17.31265
2.5794363,5.243181
2.957666,6.8509917
6.8377023,13.701935
1.6686243,4.214432
1.7314798,3.946151
