x1,x2,x3,y
8.822693,9.15004,3.8286376,44.988274
9.593057,3.9044821,6.0089536,28.406433
2.5657248,7.9364133,9.407715,23.968615
1.3318592,9.345981,5.9357967,28.718042
8.694044,5.6771526,7.4109406,31.21051
4.294045,8.854429,5.7390447,33.055344
2.6658006,6.2744913,2.6963167,25.875624
4.4136357,2.9692082,8.3168545,12.93877
1.0531491,2.6949482,3.5881262,11.13714
1.9936377,5.4719157,0.06160438,24.215057
9.515545,0.75265884,8.860137,16.334852
5.8320956,3.3764772,8.08975,17.318296
5.779254,9.039817,5.5465984,37.2213
3.423134,6.343418,3.6441028,25.169039
7.1042876,9.46411,7.890298,38.643566
2.8141375,7.8863235,5.8946314,26.872229
7.539175,1.9524747,0.050457716,25.27003
3.0681973,1.1648858,9.1026945,5.8070636
6.440157,7.071068,6.581306,31.798016
4.91302,8.913041,1.447432,39.797512
5.3148184,1.5872991,6.54176,13.066492
3.2780886,6.5320816,3.9582925,25.835535
9.146959,2.0364904,2.0180101,26.913063
2.01783,9.497214,6.6662555,29.134348
9.811254,0.8736187,0.040619373,27.070814
1.0881811,1.6365546,7.025201,4.9783397
6.7903795,9.154622,2.4178731,43.066757
1.591441,7.6528907,2.9789777,27.190617
8.034619,3.8134968,7.8602295,23.838589
1.11516,2.4767513,6.524382,7.488749
6.057038,3.7252064,7.980347,18.4475
8.399046,1.3741332,2.330659,22.16809
9.57831,3.3128376,3.227418,29.624619
0.16202688,2.136649,6.249018,4.316984
4.340034,1.3705701,5.1172833,11.692854
1.5845925,0.7580167,2.246687,7.4432497
0.62393963,1.8163097,9.998044,1.1414542
5.944375,6.5407987,0.3365785,35.26579
1.716131,3.335721,5.7818556,12.050759
0.6003934,2.845635,2.0066571,11.702075
5.0138564,3.139484,4.653521,18.860826
1.6118515,1.5680242,2.0829911,9.999185
3.2885127,1.0535955,9.192349,5.376301
4.00768,9.301984,6.5579104,33.450962
0.76601505,8.460176,3.624276,27.59249
3.0833697,0.8496475,0.02919674,13.50192
6.4305534,3.9077806,6.9466157,21.595472
0.89668274,8.712146,1.3297313,31.142277
4.1366334,6.0443487,7.581259,22.922737
9.036551,9.554796,1.0353893,49.03458
6.258336,2.8493702,4.452076,20.809963
1.2575495,9.554293,1.3302475,34.700752
7.6722565,6.757198,6.6247797,32.594353
2.2967691,9.544758,6.098752,31.316679
5.6432004,0.59372604,7.0989423,10.012592
4.249897,2.7093787,9.294733,10.712455
6.114744,2.2336178,2.4693055,20.177908
4.7612214,7.791806,3.722331,33.374992
2.1471257,3.2877855,1.2646258,17.577728
6.783162,8.870201,0.29279828,43.758183
6.1612535,7.582959,5.9066467,34.114895
3.2193768,7.6097107,7.627566,26.48786
6.869636,4.121393,3.6759937,26.441504
5.5349045,4.1167297,3.5099947,23.822319
8.196034,9.296998,4.5050135,43.982327
3.8805156,5.0729613,4.701459,21.647991
6.2020564,6.401168,0.45871615,35.607162
3.1548114,9.210648,6.947775,30.979788
4.7513123,1.9854712,1.9409746,17.40884
0.5211657,3.3701878,6.688521,8.547524
8.188108,7.308487,0.5802798,42.79348
1.9931877,4.2109165,9.836748,11.634661
5.7232876,3.7051463,7.0685763,20.266457
3.0955923,1.7637217,8.649436,7.105291
2.726491,3.9976664,0.025978684,21.916733
8.346354,8.788174,6.822241,40.48832
1.513629,0.065300465,0.93910515,6.2142105
8.728501,7.400529,9.207522,33.860695
7.6193495,6.265461,4.9510365,32.44258
1.1974698,0.7161391,0.32325685,8.444344
7.0468097,2.54516,3.9937372,21.980507
2.1224737,4.0888824,1.4808255,18.812037
1.7329216,6.658554,3.514018,23.31743
8.086716,3.395956,1.3321638,28.73643
4.1178055,2.576263,3.470292,16.506456
0.24002194,7.797455,1.5189773,25.821356
7.5130887,7.268921,8.572164,31.88068
1.1647397,8.5959835,2.636242,29.277435
6.8553457,9.695574,4.294841,42.983753
4.961333,3.8488472,0.8250773,24.57281
7.399514,0.03641069,8.103999,10.880618
8.741125,9.728532,3.8206024,46.827843
0.8917904,6.124151,7.7621365,16.866201
0.023456216,3.8650818,2.0027227,12.848232
4.562681,2.5389326,2.956162,18.279564
3.4127057,0.24847984,9.102537,3.0411506
9.191656,4.215655,4.4305897,30.528782
2.9594004,0.4846859,0.13427794,11.1004095
6.858292,2.2547693,1.7856151,22.59867
4.6098843,3.3349442,3.3823962,20.230595
